doi,title,authorIDs,year,journalID,editor,reviewers,abstract,numStudies,keywords,ev,replicationOf,replications,repLink,data,dataSourceLogo,materials,materialSourceLogo,prereg,preRegSourceLogo,disclosure,disclSourceLogo,replBadge,dataAvailBadge,reprodAnalBadge,matAvailBadge,preRegBadge,disclBadge,recentlyUpdated,mostComplete
10.1371/journal.pone.0033423,Failing the future: Three unsuccessful attempts to replicate Bem's retroactive facilitation of recall effect,"32,33,34",2012,7,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Nine recently reported parapsychological experiments appear to support the existence of precognition. We describe three pre-registered independent attempts to exactly replicate one of these experiments, ﾑretroactive facilitation of recallﾒ, which examines whether performance on a memory test can be influenced by a post-test exercise. All three replication attempts failed to produce significant effects (combined n = 150; combined p = .83, one-tailed) and thus do not support the existence of psychic ability.",3,"Parapsychological experiments, Precognition, Memory, Recall",NA,10.1037/a0021524,NA,"[[9,1,1],[9,2,1],[9,3,1]]",NA,NA,NA,NA,<a href='http://www.richardwiseman.com/BemReplications.shtml'>Preregistration Protocol</a>,NA,Exclusions: Full Disclosure | Measures: Full Disclosure | Conditions: Full Disclosure | Sample size: Full Disclosure,NA,1,1,1,1,2,2,11,5
10.1037/0022-3514.71.2.230,Automaticity of social behavior: Direct effects of trait construct and stereotype activation on action,"35,36,37",1996,6,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Previous research has shown that trait concepts and stereotypes become active automatically in the presence of relevant behavior or stereotyped-group features. Through the use of the same priming procedures as in previous impression formation research, Experiment 1 showed that participants whose concept of rudeness was primed interrupted the experimenter more quickly and frequently than did participants primed with polite-related stimuli. In Experiment 2, participants for whom an elderly stereotype was primed walked more slowly down the hallway when leaving the experiment than did control participants, consistent with the content of that stereotype. In Experiment 3, participants for whom the African American stereotype was primed subliminally reacted with more hostility to a vexatious request of the experimenter. Implications of this automatic behavior priming effect for self-fulfilling prophecies are discussed, as is whether social behavior is necessarily mediated by conscious choice processes.",4,"Trait construct, Priming, Activation of stereotypes toward rudeness, Elderly, African Americans, Automaticity of social behavior, College students",NA,NA,10.1371/journal.pone.0029081 | 10.1037/0022-3514.75.4.862 | scicom4 | 10.1037/0022-3514.90.6.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,12,0
10.1371/journal.pone.0029081,"Behavioral priming: It's all in the mind, but whose mind?","38,39,40,41",2012,7,Unknown at this time.,Unknown at this time. | Unknown at this time.,"The perspective that behavior is often driven by unconscious determinants has become widespread in social psychology. Bargh, Chen, and Burrows' (1996) famous study, in which participants unwittingly exposed to the stereotype of age walked slower when exiting the laboratory, was instrumental in defining this perspective. Here, we present two experiments aimed at replicating the original study. Despite the use of automated timing methods and a larger sample, our first experiment failed to show priming. Our second experiment was aimed at manipulating the beliefs of the experimenters: Half were led to think that participants would walk slower when primed congruently, and the other half was led to expect the opposite. Strikingly, we obtained a walking speed effect, but only when experimenters believed participants would indeed walk slower. This suggests that both priming and experimenters' expectations are instrumental in explaining the walking speed effect. Further, debriefing was suggestive of awareness of the primes. We conclude that unconscious behavioral priming is real, while real, involves mechanisms different from those typically assumed to cause the effect.",2,NA,NA,10.1037/0022-3514.71.2.230,NA,"[[2,1,1]]",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,13,9
10.1037/0022-3514.75.4.862,Seeing one thing and doing another: Contrast effects in automatic behavior,"42,43,44,45,46,47,48",1998,6,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Research on automatic behavior demonstrates the ability of stereotypes to elicit stereotype-consistent behavior. Social judgment research proposes that whereas traits and stereotypes elicit assimilation, priming of exemplars can elicit judgmental contrast by evoking social comparisons. This research extends these findings by showing that priming exemplars can elicit behavioral contrast by evoking a social comparison. In Study 1, priming professor or supermodel stereotypes led, respectively, to more and fewer correct answers on a knowledge test (behavioral assimilation), but priming exemplars of these categories led to the reverse pattern (behavioral contrast). In Study 2, participants walked away faster after being primed with an elderly exemplar. In Study 3, the proposition that contrast effects reflect comparisons of the self with the exemplar was supported.",4,"Priming exemplars, Social comparison, Behavioral contrast, College students",NA,10.1037/0022-3514.71.2.230,NA,"[[2,2,3],[3,3,3]]",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,14,0
scicom4,Failure to replicate Bargh et al.'s (1996) Experiment 2,"49,50,51",2008,9,Unknown at this time.,Unknown at this time. | Unknown at this time.,NA,1,NA,NA,10.1037/0022-3514.71.2.230,NA,"[[2,1,1]]",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,15,0
10.1037/a0023527,The substitutability of physical and social warmth in daily life,"35,52",2011,10,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Classic and contemporary research on person perception has demonstrated the paramount importance of interpersonal warmth. Recent research on embodied cognition has shown that feelings of social warmth or coldness can be induced by experiences of physical warmth or coldness, and vice versa. Here we show that people tend to self-regulate their feelings of social warmth through applications of physical warmth, apparently without explicit awareness of doing so. In Study 1, higher scores on a measure of chronic loneliness (social coldness) were associated with an increased tendency to take warm baths or showers. In Study 2, a physical coldness manipulation significantly increased feelings of loneliness. In Study 3, needs for social affiliation and for emotion regulation, triggered by recall of a past rejection experience, were subsequently eliminated by an interpolated physical warmth experience. Study 4 provided evidence that people are not explicitly aware of the relationship between physical and social warmth (coldness), as they do not consider a target person who often bathes to be any lonelier than one who does not, with all else being equal. Together, these findings suggest that physical and social warmth are to some extent substitutable in daily life and that this substitution reflects an unconscious self-regulatory mechanism.",5,"Embodiment, Self-regulation, Unconscious, Warmth, Social warmth, Physical warmth, Interpersonal warmth",NA,NA,scicom5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,16,0
scicom5,On the association between loneliness and bathing habits: Nine replications of Bargh & Shalev (2012) Study 1,"53,54,55",In press,10,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Bargh and Shalev (2012) hypothesized that people use warm showers and baths to compensate for a lack of social warmth. As support for this idea, they reported results from two studies that found an association between trait loneliness and bathing habits. Given the potential practical and theoretical importance of this association, we conducted nine additional studies on this topic. Using our own bathing/showering measures and the most current version of the UCLA Loneliness scale (Russell, 1996), we found no evidence for an association between trait loneliness and a composite index of showering/bathing habits in a combined sample of 1,153 participants from four studies. Likewise, the aggregated effect size estimate was not statistically significant using the same measures as the original studies in a combined sample of 1,920 participants from five studies. A local meta-analysis including the original studies yielded an effect size estimate for the composite that included zero in the 95% confidence interval. The current results therefore cast doubt on the idea of a strong connection between trait loneliness and personal bathing habits related to warmth.",9,"Loneliness, Effect Sizes, Statistical Precision, Replication, Meta-Analysis",NA,10.1037/a0023527,NA,"[[1,1,2],[1,2,2],[1,3,2],[1,4,2],[1,5,1],[1,6,1],[1,7,1],[1,8,1],[1,9,1]]",<a href='https://www.msu.edu/~cesario/publications/publication_materials/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20data%20and%20materials.zip'>Data&MaterialsAllStudies.zip</a>,MSU.gif,<a href='https://www.msu.edu/~cesario/publications/publication_materials/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20data%20and%20materials.zip'>Data&MaterialsAllStudies.zip</a>,MSU.gif,NA,NA,Exclusions: Full Disclosure | Measures: Full Disclosure | Conditions: Full Disclosure | Sample size: Full Disclosure,NA,1,2,1,2,1,2,17,2
10.1111/j.1467-9280.2008.02084.x,Keeping one's distance: The influence of spatial distance cues on affect and evaluation,"56,35",2008,11,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Current conceptualizations of psychological distance (e.g., construal-level theory) refer to the degree of overlap between the self and some other person, place, or point in time. We propose a complementary view in which perceptual and motor representations of physical distance influence people's thoughts and feelings without reference to the self, extending research and theory on the effects of distance into domains where construal-level theory is silent. Across four experiments, participants were primed with either spatial closeness or spatial distance by plotting an assigned set of points on a Cartesian coordinate plane. Compared with the closeness prime, the distance prime produced greater enjoyment of media depicting embarrassment (Study 1), less emotional distress from violent media (Study 2), lower estimates of the number of calories in unhealthy food (Study 3), and weaker reports of emotional attachments to family members and hometowns (Study 4). These results support a broader conceptualization of distance-mediated effects on judgment and affect.",4,"Spatial distance cues, Evaluation, Judgment, Affect",NA,NA,10.1371/journal.pone.0042510 | scicom6 | scicom7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,18,0
10.1371/journal.pone.0042510,Failure to replicate Williams & Bargh (2008) Study 4,"49,51,50",2012,7,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Williams and Bargh (2008) reported an experiment in which participants were simply asked to plot a single pair of points on a piece of graph paper, with the coordinates provided by the experimenter specifying a pair of points that lay at one of three different distances (close, intermediate, or far, relative to the range available on the graph paper). The participants who had graphed a more distant pair reported themselves as being significantly less close to members of their own family than did those who had plotted a more closely-situated pair. In another experiment, people's estimates of the caloric content of different foods were reportedly altered by the same type of spatial distance priming. Direct replications of both results were attempted, with precautions to ensure that the experimenter did not know what condition the participant was assigned to. The results showed no hint of the priming effects reported by Williams and Bargh (2008).",2,NA,NA,10.1111/j.1467-9280.2008.02084.x,NA,"[[4,1,1],[3,2,2]]",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,19,0
scicom6,Failure to replicate Williams & Bargh (2008) Study 1,"57,55",2012,9,Unknown at this time.,Unknown at this time. | Unknown at this time.,NA,1,NA,NA,10.1111/j.1467-9280.2008.02084.x,NA,"[[1,1,1]]",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,20,0
scicom7,Failure to replicate Williams & Bargh (2008) Study 4 (#164),"57,55",2012,9,Unknown at this time.,Unknown at this time. | Unknown at this time.,NA,1,NA,NA,10.1111/j.1467-9280.2008.02084.x,NA,"[[4,1,1]]",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,21,0
scicom8,Failure to replicate Williams & Bargh (2008) Study 4 (#165),"57,55",2012,9,Unknown at this time.,Unknown at this time. | Unknown at this time.,NA,1,NA,NA,10.1111/j.1467-9280.2008.02084.x,NA,"[[4,1,1]]",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,22,0
10.1037/0022-3514.74.4.865,"The relation between perception and behavior, or how to win a game of trivial pursuit","42,47",1998,6,Unknown at this time.,Unknown at this time. | Unknown at this time.,"The authors tested and confirmed the hypothesis that priming a stereotype or trait leads to complex overt behavior in line with this activated stereotype or trait. Specifically, 4 experiments established that priming the stereotype of professors or the trait intelligent enhanced participants' performance on a scale measuring general knowledge. Also, priming the stereotype of soccer hooligans or the trait stupid reduced participants' performance on a general knowledge scale. Results of the experiments revealed (a) that prolonged priming leads to more pronounced behavioral effects and (b) that there is no sign of decay of the effects for at least 15 min. The authors explain their results by claiming that perception has a direct and pervasive impact on overt behavior (cf. J. A. Bargh, M. Chen, & L. Burrows, 1996). Implications for human social behavior are discussed.",4,"Priming of stereotyped behavior & adoption of that behavior, College students, Netherlands",NA,NA,10.1371/journal.pone.0056515 | scicom9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,23,0
10.1371/journal.pone.0056515,Priming intelligent behavior: An elusive phenomenon,"58,59,60,61,62,63,64,65",2013,7,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Can behavior be unconsciously primed via the activation of attitudes, stereotypes, or other concepts? A number of studies have suggested that such priming effects can occur, and a prominent illustration is the claim that individuals' accuracy in answering general knowledge questions can be influenced by activating intelligence-related concepts such as professor or soccer hooligan. In 9 experiments with 475 participants we employed the procedures used in these studies, as well as a number of variants of those procedures, in an attempt to obtain this intelligence priming effect. None of the experiments obtained the effect, although financial incentives did boost performance. A Bayesian analysis reveals considerable evidential support for the null hypothesis. The results conform to the pattern typically obtained in word priming experiments in which priming is very narrow in its generalization and unconscious (subliminal) influences, if they occur at all, are extremely short-lived. We encourage others to explore the circumstances in which this phenomenon might be obtained.",9,NA,NA,10.1037/0022-3514.74.4.865,NA,"[[3,1,2],[3,2,2],[3,3,1],[3,4,1]]",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,24,7
scicom9,Failure to replicate Dijksterhuis & van Knippenberg (1998) Experiment 4,"66,67,68,69,70,71",2012,9,Unknown at this time.,Unknown at this time. | Unknown at this time.,NA,1,NA,NA,10.1037/0022-3514.74.4.865,NA,"[[4,1,2]]",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,25,0
10.2307/25053899,Coherent arbitrariness': Stable demand curves without stable preferences,"72,73,74",2003,12,Unknown at this time.,Unknown at this time. | Unknown at this time.,"In six experiments we show that initial valuations of familiar products and simple hedonic experiences are strongly influenced by arbitrary 'anchors' (sometimes derived from a person's social security number). Because subsequent valuations are also coherent with respect to salient differences in perceived quality or quantity of these products and experiences, the entire pattern of valuations can easily create an illusion of order, as if it is being generated by stable underlying preferences. The experiments show that this combination of coherent arbitrariness (1) cannot be interpreted as a rational response to information, (2) does not decrease as a result of experience with a good, (3) is not necessarily reduced by market forces, and (4) is not unique to cash prices. The results imply that demand curves estimated from market data need not reveal true consumer preferences, in any normatively significant sense of the term.",6,NA,NA,NA,10.2139/ssrn.2352692 | scicom10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,26,10
10.2139/ssrn.2352692,The robustness of anchoring effects on market good valuation,"75,76,77",2013,13,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Ariely, Loewenstein, and Prelec (2003) showed that peopleﾒs judgments of a productﾒs value are strongly and systematically influenced by considering numbers (or ﾑanchorsﾒ) which should be irrelevant to their valuations. However, subsequent studies showed inconsistent results while using different experimental protocols. To bridge the gap between conflicting prior studies, we replicated the anchoring effect in product valuations while also varying the experimental protocol. We examined whether the type of anchoring number (Social Security number vs. random number), recruiting method (classroom vs. email recruiting), or cover story (in-class market research demonstration vs. participation in research experiment) contributed to the divergent results. Our results replicated the anchoring effect at economically significant magnitudes (near the middle of the range for previous studies), but we did not find evidence that the procedural differences can account for the conflicting prior results.",2,"Anchoring effect, Product valuation, Preference elicitation",NA,10.2307/25053899,NA,"[[1,1,2],[1,2,2]]",NA,NA,<a href='http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2352692'>Materials</a>,SSRN.jpg,NA,NA,NA,NA,1,1,1,2,1,1,27,6
scicom10,Independent replication of Ariely et al. (2003),78,2013,14,Unknown at this time.,Unknown at this time. | Unknown at this time.,NA,1,NA,NA,10.2307/25053899,NA,"[[1,1,2]]",<a href='http://datacolada.org/wp-content/uploads/2013/11/Data-in-class-demonstration.xlsx'>Data-in-class-demonstration.xlsx</a>,data_cola.jpg,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,28,8
10.1037/0022-3514.90.6.893,Automatic social behavior as motivated preparation to interact.,"55,80,79",2006,6,Unknown at this time.,Unknown at this time. | Unknown at this time.,"The authors propose that automatic social behavior may result from perceivers preparing to interact with primed social group members. In Study 1, participants primed with a disliked outgroup (gay men) showed evidence of interaction preparation (aggression) rather than direct stereotypic trait expression (passivity). In Study 2, participants with implicit positive attitudes toward the elderly walked more slowly after 'elderly' priming, but participants with negative attitudes walked more quickly, results consistent with a preparatory account; the reverse was found priming 'youth.' Study 3 demonstrated that the accessibility of a primed category follows a pattern more consistent with that of goal-related constructs (including post-goal-fulfillment inhibition) than that of semantically primed constructs. Implications for the function of stored knowledge are discussed.",3,"Automaticity, Automatic social behavior, Preparatory interaction, Perception-behavior link, Social group interaction",NA,10.1037/0022-3514.71.2.230,NA,"[[2,2,2]]",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,30,0
